epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,12648.4,0.71972,1.25646,1.24542,0.71105,0.68205,0.75854,0.59686,0.7641,1.01649,1.4172,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,13039.1,0.71646,1.21904,1.24071,0.70172,0.69218,0.76086,0.59954,0.76422,1.00972,1.41398,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,13430.5,0.71393,1.20074,1.23852,0.71716,0.6922,0.76368,0.60134,0.76305,1.00636,1.41461,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,13821.6,0.70598,1.18417,1.23418,0.72083,0.68822,0.76378,0.60199,0.76311,1.00077,1.41554,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,14211.8,0.70068,1.15237,1.22792,0.71955,0.69581,0.76724,0.60494,0.76239,0.99012,1.41452,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,14602.8,0.70168,1.139,1.22948,0.72987,0.68694,0.76989,0.60743,0.76131,0.98776,1.4141,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,15002.9,0.69249,1.11861,1.222,0.72801,0.69527,0.77078,0.60912,0.76023,0.98517,1.41362,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,15396.3,0.68086,1.09765,1.21563,0.73842,0.69103,0.77215,0.61151,0.76201,0.98092,1.41535,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,15790.5,0.67788,1.08682,1.21533,0.73332,0.6936,0.77263,0.61102,0.76229,0.97702,1.41546,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,16191.1,0.67424,1.05247,1.20852,0.74657,0.68274,0.77375,0.61234,0.76175,0.97571,1.41487,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,16585.7,0.67348,1.03058,1.20707,0.71739,0.70677,0.77521,0.61266,0.76223,0.9723,1.41644,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,16976.8,0.6631,1.00705,1.19948,0.72933,0.69919,0.77776,0.61376,0.76283,0.97095,1.41783,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,17366.9,0.65574,0.98851,1.19497,0.7401,0.69369,0.77873,0.61468,0.763,0.96948,1.4187,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,17757.1,0.65758,0.97798,1.19729,0.74398,0.69514,0.77948,0.61567,0.76307,0.96743,1.41932,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,18146.9,0.65299,0.96288,1.19431,0.73837,0.70378,0.78059,0.61689,0.76281,0.96674,1.41927,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,18537,0.64936,0.94443,1.1923,0.73324,0.7075,0.78058,0.61705,0.76375,0.96542,1.42077,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,18927.6,0.64063,0.93184,1.18518,0.73447,0.70701,0.78158,0.61782,0.76403,0.96487,1.42119,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,19317,0.64035,0.91234,1.18011,0.73496,0.71103,0.78282,0.61882,0.76442,0.96351,1.42192,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,19716.6,0.62778,0.88579,1.1769,0.72842,0.71473,0.78299,0.61841,0.76475,0.96333,1.42253,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,20110.8,0.54563,0.55751,1.22346,0.73612,0.70832,0.78326,0.61859,0.76501,0.96286,1.42345,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,20501.4,0.52331,0.50528,1.20399,0.73959,0.70421,0.78325,0.6181,0.765,0.96284,1.42421,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,20891.5,0.51254,0.48708,1.18559,0.74221,0.70583,0.7842,0.61867,0.76507,0.96197,1.42525,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,21282.4,0.49888,0.46022,1.18189,0.75837,0.69536,0.78387,0.61855,0.76532,0.96102,1.42682,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,21670.2,0.48794,0.44719,1.16826,0.75797,0.69396,0.78328,0.61803,0.76573,0.96003,1.42844,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,22057.5,0.47767,0.42904,1.15554,0.75889,0.69318,0.78341,0.61858,0.76648,0.95979,1.43036,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,22444.9,0.47272,0.40748,1.14358,0.75682,0.69521,0.78362,0.6189,0.76688,0.95921,1.43185,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,22832.5,0.46042,0.39715,1.14133,0.76635,0.68908,0.78368,0.61903,0.76757,0.95799,1.4338,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,23219.7,0.45151,0.38525,1.13276,0.74833,0.69946,0.78402,0.61902,0.76774,0.95727,1.43507,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,23606.6,0.45179,0.38131,1.13007,0.75669,0.69488,0.78365,0.61823,0.76816,0.95665,1.43652,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
